trench,profile,lon,lat,z_a,W,theta_l,theta_s,A,S,h_f,d_f,class,age_Ma,sed_m
aleutian,118,197.09,53.0515605026,-6944.6233962,48.0785891002,3.727826373725234,2.2387800992850484,0.2495633457939333,78.98921112049997,-48.519080819999544,83.1324293108,1,53.0016844617,444.599133465
aleutian,119,197.242,53.0890504042,-6937.61358773,43.0629128382,5.12938934614969,2.227629492880058,0.3944206093201087,70.00709621211321,-31.610911665000454,74.1056191335,1,52.9140539701,456.861049905
aleutian,120,197.394,53.1263457311,-6964.49245216,46.0622557159,4.3954825008132845,2.1301104534233586,0.3471519083823896,72.19239205879992,104.51273141999992,100.129847422,1,52.8231766789,465.191724646
aleutian,121,197.561,53.1426002409,-6911.04241611,42.0569123822,3.769079144039869,2.5650324955963306,0.1900892685422723,66.9358555991341,708.9890129,92.1196069761,1,52.8076098089,468.67894956
aleutian,122,197.699,53.1761671333,-6911.52535939,47.0696041314,3.3869037905559645,2.5102103816801353,0.1486648186333825,74.47575164571123,-4.583802604999619,73.1050855061,1,52.7329934993,487.196190627
aleutian,123,197.827,53.2078242917,-6897.55175935,47.069633411,3.2397786036731433,2.4010610710605387,0.1486866461334415,74.5152599705646,-18.4471970350005,71.1023370328,1,52.6611443885,513.338752663
aleutian,124,197.972,53.2423776629,-6885.84933931,43.0635340473,3.77118523144622,2.467881180673827,0.2088940820121079,67.57894803491621,75.1843341699996,92.1311214912,1,52.5889804244,551.34077112
aleutian,125,198.117,53.2767547468,-6891.1272688,39.0531501746,5.086661650281671,2.5484169606076192,0.3324451284697921,64.47240204351932,157.0534248849999,96.1256064773,1,52.5223746779,586.138649517
aleutian,126,198.273,53.2893323704,-6878.91588481,39.0527160884,3.5148590491137908,3.013815891515842,0.0767449998896142,64.2646160178762,305.53190109499974,144.181231035,1,52.5152257647,611.679532816
aleutian,127,198.42,53.3190120308,-6873.25688742,38.0544930479,4.018705718260892,2.925024668633406,0.1575062666159556,60.80518956664195,542.7703734799998,49.0689167425,1,52.4590324378,628.882740066
aleutian,128,198.568,53.348511724,-6857.00816911,39.0659135852,3.9478896876981255,2.7486643448127612,0.1790809626956317,62.91430125986748,131.79197915749955,93.15250781992,1,52.4043578743,638.608893297
aleutian,129,198.698,53.4168218464,-6838.08019642,44.0744664464,4.069184002546459,2.1073992758658853,0.3176164941444518,71.01870849328262,76.78829856999982,82.1355228752,1,52.2441606742,647.461839929
aleutian,130,198.846,53.4459805605,-6792.67237435,46.0652566919,3.927720621355984,2.0971970036070635,0.3038255013088495,73.97853345464785,-83.5174050200003,68.0940905639,1,52.193885529,651.44918118
aleutian,131,198.997,53.4706178087,-6791.07551877,38.0538655807,5.726902768150811,2.3397397483688613,0.419897499219208,60.263574045752975,52.181069039999784,69.09544057307001,1,52.1586554766,653.654688421
aleutian,132,199.145,53.4992930753,-6785.39022239,37.04922834468,8.96125250590388,2.107278220499207,0.6192307231035705,57.16702646551893,2.1132423050003126,83.1071113314,1,52.1099487213,652.640405454
aleutian,133,199.309,53.5017517824,-6761.76463321,39.0503896574,5.646378732961972,2.224369328725412,0.4347756245551743,59.4512335436237,-8.329955295000218,82.1023473949,1,52.1374599178,649.723815722
