trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
philippine,83,127.301161272,7.85620475226,-8751.79182498,59.0048986233,5.678386165616609,3.3834966904960275,0.25324642919794293,109.7153574681195,863.4237221349995,64.0053186716,127.301161272,7.85620475226,79.7975845336,494.428819739
philippine,84,127.302811322,7.76232676341,-8719.76113171,67.002670533,5.418589079892874,3.6634858731867324,0.1932491435903654,148.38950536548163,697.7141954750005,68.0027786678,127.302811322,7.76232676341,79.4347229885,509.485573448
philippine,85,127.319716341,7.66876150542,-9043.24752911,45.001439445,6.155475341550487,6.4329690035447165,-0.022043522963371472,95.92513160126578,-321.5274976799992,36.0011772041,127.319716341,7.66876150542,78.9835227508,511.931918291
philippine,86,127.322606823,7.57480537967,-9096.62899566,47.0035807858,6.544262427308355,6.273804908729413,0.021099711172413292,101.34328790873961,-527.4094043799996,39.0029759528,127.322606823,7.57480537967,78.3826726194,537.132803615
philippine,87,127.323006961,7.48100546647,-9191.40537217,50.0037152158,6.929394500618817,5.45468529276335,0.11908104860916072,111.73867708326891,-124.65657474,60.0044682172,127.323006961,7.48100546647,77.794422107,573.328929625
philippine,88,127.325896404,7.38704934732,-9520.7859697,54.003906301,7.484299882154184,5.567081047056394,0.14689777621974248,127.21029681098518,-72.06203367500075,61.0044228394,127.325896404,7.38704934732,77.2122551188,610.667796213
philippine,89,127.326411309,7.29330816186,-9624.06768183,53.003741315300005,8.415459082714284,5.54532337168582,0.20558559095116236,128.54917842182226,169.88630466000086,77.0054506067,127.326411309,7.29330816186,76.6432278955,650.565084447
philippine,90,127.329183132,7.19941634708,-9585.50404917,60.003912024499996,5.855252084446993,5.479869908608877,0.03311673011266068,135.51226179647756,1563.7686692175007,92.00604564048001,127.329183132,7.19941634708,76.0878338507,685.152994784
philippine,91,127.3327032,7.10563314617,-9593.10120926,55.0035647263,6.035275151302391,6.725597605949805,-0.05409680574199704,132.67610715602467,984.8008907249996,86.0056100429,127.3327032,7.10563314617,75.5122695209,713.810657468
philippine,92,127.334463076,7.01176626136,-9645.23048338,55.0032156254,5.827404471385752,7.509820348938234,-0.12614437412712168,134.69097525743902,1184.1815993500004,82.0048464004,127.334463076,7.01176626136,74.9703264742,739.030905252
philippine,93,127.340751295,6.91798299855,-9639.8423474,55.002903620599994,5.2645458645928525,8.485036639171636,-0.23422462272560257,134.8584170506487,1418.1543376,71.0037997944,127.340751295,6.91798299855,74.407682771,752.966455332
